Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,1,186,1000
2,0,1,373,1000
3,0,1,560,1000
4,0,89,661,1000
5,0,280,661,1000
6,0,339,661,0
7,0,339,661,0
8,0,339,661,0
9,0,339,661,0
10,0,339,661,0
11,0,339,661,0
12,0,339,661,0
13,0,339,661,0
14,0,339,661,0
15,0,339,661,0
16,0,339,661,0
17,0,339,661,0
18,0,339,661,0
19,0,339,661,0
20,0,339,661,0
21,0,339,661,0
22,100,339,561,0
23,150,339,511,0
24,150,339,511,0
25,150,339,511,0
26,150,339,511,0
27,150,339,511,0
28,150,339,511,0
29,150,339,511,0
30,150,339,511,0
31,150,339,511,0
32,150,339,511,0
33,150,339,511,0
34,150,339,511,0
35,150,332,518,0
36,150,186,664,0
37,150,186,664,0
38,150,186,664,0
39,150,186,664,0
40,150,186,664,0
41,150,186,664,0
42,219,186,595,0
43,252,186,562,0
44,300,186,514,0
45,300,186,514,0
46,300,186,514,0
47,300,186,514,0
48,300,186,514,0
49,300,186,514,0
50,300,186,514,0
51,300,186,514,0
52,300,186,514,0
53,300,186,514,0
54,300,186,514,0
55,300,186,514,0
56,300,186,514,0
57,300,186,514,0
58,300,186,514,0
59,300,186,514,0
60,300,186,514,0
61,300,186,514,0
62,300,186,514,0
63,400,186,414,0
64,450,186,364,0
65,450,186,364,0
66,450,186,364,0
67,450,186,364,0
68,450,186,364,0
69,450,186,364,0
70,450,0,550,0
71,450,0,550,0
72,450,0,550,0
73,450,0,550,0
74,450,0,550,0
75,450,0,550,0
76,450,0,550,0
77,450,0,550,0
78,450,0,550,0
79,450,0,550,0
80,450,0,550,0
81,450,0,550,0
82,450,0,550,0
83,450,0,550,0
84,550,0,450,0
85,600,0,400,0
86,600,0,400,0
87,600,0,400,0
88,600,0,400,0
89,600,0,400,0
90,600,0,400,0
91,600,0,400,0
92,600,0,400,0
93,600,0,400,0
94,600,0,400,0
95,600,0,400,0
96,600,0,400,0
97,600,0,400,0
98,600,0,400,0
99,600,0,400,0
100,600,0,400,0
101,600,0,400,0
102,600,0,400,0
103,600,0,400,0
104,600,0,400,0
105,700,0,300,0
106,750,0,250,0
107,750,0,250,0
108,750,0,250,0
109,750,0,250,0
110,750,0,250,0
111,750,0,250,0
112,750,0,250,0
113,750,0,250,0
114,750,0,250,0
115,750,0,250,0
116,750,0,250,0
117,750,0,250,0
118,750,0,250,0
119,750,0,250,0
120,750,0,250,0
121,750,0,250,0
122,750,0,250,0
123,750,0,250,0
124,750,0,250,0
125,752,0,248,0
126,865,0,135,1000
127,900,0,100,1000
128,900,0,100,1000
129,900,0,100,1000
130,900,0,100,1000
131,900,0,100,1000
132,900,0,100,1000
133,900,0,100,1000
134,900,0,100,1000
135,900,0,100,1000
136,900,0,100,1000
137,900,0,100,1000
138,900,0,100,1000
139,900,0,100,1000
140,900,0,100,1000
141,900,0,100,1000
142,900,0,100,1000
143,900,0,100,1000
144,900,0,100,1000
145,900,0,100,1000
146,948,0,52,1000
